listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category
26,13,Nigeria,Abuja,Others,Construction debris,321.04,High,,11,Matched,132.15,Closed,6.97,2026-01-02 10:45:30,4,15,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
27,14,Nigeria,Ibadan,Liquid,Septage/Sewage,18.7,Medium,,27,Matched,5.55,Open,10.61,2025-12-15 06:06:48,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
28,14,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,187.8,Low,,19,Unmatched,119.55,Closed,7.41,2026-02-01 10:28:09,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
29,15,Nigeria,Kano,Organic,Agricultural Residue,390.7,Medium,,19,Matched,349.94,Open,6.33,2026-01-04 19:09:36,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
30,15,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,25.02,Low,,28,Unmatched,23.77,Closed,6.72,2026-02-10 04:10:09,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
31,16,Kenya,Kisumu,Others,Miscellaneous,429.81,Medium,,17,Unmatched,152.97,In Progress,7.14,2026-03-13 04:05:29,4,16,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
32,16,Kenya,Kisumu,Organic,Agricultural Residue,321.03,High,,19,Matched,76.15,Open,6.5,2025-10-13 02:36:16,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
33,17,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,259.56,Medium,,51,Matched,109.9,Closed,6.75,2025-10-25 05:05:09,2,6,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
34,17,Nigeria,Kano,Solid,PET Bottles,229.01,High,,56,Unmatched,204.82,In Progress,7.21,2025-10-22 15:19:51,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
35,18,Kenya,Nakuru,Organic,Agricultural Residue,169.01,High,,24,Unmatched,46.72,Open,6.18,2026-02-25 03:12:05,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
36,18,Kenya,Nakuru,Organic,Livestock Manure,387.28,Medium,,4,Matched,194.05,In Progress,5.91,2025-11-29 15:39:11,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
37,19,Nigeria,Port Harcourt,Others,Construction debris,332.6,Medium,,34,Unmatched,45.66,Open,7.02,2025-11-11 17:28:28,4,15,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,Regulated
38,19,Nigeria,Port Harcourt,Organic,Agricultural Residue,27.07,Low,,46,Unmatched,9.36,Closed,6.42,2026-01-02 01:41:07,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
39,20,Kenya,Nakuru,Organic,Agricultural Residue,257.69,Low,,30,Unmatched,194.04,Closed,5.6,2025-12-20 18:46:22,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
40,20,Kenya,Nakuru,Liquid,Greywater,316.67,High,,51,Unmatched,62.68,Open,10.84,2025-09-24 17:17:52,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
41,21,Kenya,Nairobi,Organic,Market Waste,242.65,High,,44,Matched,210.03,Closed,6.76,2026-02-23 07:00:02,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
42,21,Kenya,Nairobi,Organic,Market Waste,128.26,Low,,20,Unmatched,114.58,Open,6.29,2026-02-23 23:04:28,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
43,22,Kenya,Eldoret,Organic,Agricultural Residue,215.65,High,,27,Unmatched,130.74,In Progress,6.33,2025-11-14 03:52:02,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
44,22,Kenya,Eldoret,Solid,LDPE 'Sachet' Water Bags,267.42,High,,14,Unmatched,205.05,Closed,7.29,2026-02-25 13:55:38,2,6,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
45,23,Kenya,Nakuru,Liquid,Used Cooking Oil,48.43,High,,50,Unmatched,13.46,In Progress,4.25,2026-01-08 03:44:47,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
46,23,Kenya,Nakuru,Others,Construction debris,297.03,Low,,48,Unmatched,114.34,Open,7.2,2025-11-14 12:49:19,4,15,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
47,24,Kenya,Mombasa,Organic,Food Scraps,476.9,High,,30,Matched,115.85,Open,5.66,2025-12-21 11:09:12,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
48,24,Kenya,Mombasa,Organic,Livestock Manure,289.76,High,,25,Unmatched,157.55,Open,5.28,2026-01-03 02:55:01,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
49,25,Kenya,Nairobi,Organic,Market Waste,480.37,Medium,,46,Unmatched,247.21,Closed,6.89,2026-02-07 04:27:26,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
50,25,Kenya,Nairobi,Organic,Livestock Manure,319.51,Low,,42,Matched,67.63,Open,6.62,2025-12-15 12:19:13,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
51,26,Kenya,Mombasa,Organic,Food Scraps,24.78,Low,,27,Matched,19.04,Closed,6.48,2025-10-30 02:49:06,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
52,26,Kenya,Mombasa,Organic,Agricultural Residue,166.67,Medium,,56,Matched,70.82,Closed,5.64,2025-09-21 17:33:42,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
53,27,Nigeria,Port Harcourt,Solid,Scrap Metal,204.79,High,,43,Matched,254.12,Closed,6.6,2026-02-17 03:49:43,2,7,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
54,27,Nigeria,Port Harcourt,Organic,Agricultural Residue,139.93,High,,18,Matched,73.92,Closed,6.88,2025-09-16 23:52:50,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
55,28,Kenya,Eldoret,Solid,Scrap Metal,247.05,High,,45,Unmatched,278.32,In Progress,7.17,2025-10-16 10:16:55,2,7,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
56,28,Kenya,Eldoret,Organic,Market Waste,354.85,Medium,,23,Matched,114.56,Closed,5.26,2025-11-06 12:38:31,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
57,29,Kenya,Nakuru,Organic,Livestock Manure,297.3,Medium,,56,Unmatched,92.05,Open,5.31,2025-11-13 19:22:08,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
58,29,Kenya,Nakuru,Organic,Market Waste,472.07,Medium,,44,Unmatched,211.8,In Progress,5.66,2026-01-18 21:40:55,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
59,30,Nigeria,Port Harcourt,Organic,Agricultural Residue,114.21,Low,,35,Unmatched,86.27,In Progress,6.81,2026-02-25 12:19:58,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
60,30,Nigeria,Port Harcourt,Organic,Agricultural Residue,111.34,Medium,,39,Matched,71.91,Closed,5.14,2026-01-18 03:04:00,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
61,31,Kenya,Nairobi,Organic,Agricultural Residue,240.45,High,,2,Unmatched,151.96,Closed,5.95,2025-12-17 06:40:47,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
62,31,Kenya,Nairobi,Organic,Livestock Manure,333.58,Low,,26,Unmatched,262.36,In Progress,6.15,2025-10-10 15:11:05,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
63,32,Nigeria,Abuja,Solid,PET Bottles,253.79,Medium,,6,Unmatched,264.87,Open,7.17,2026-01-21 11:28:03,2,5,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
64,32,Nigeria,Abuja,Organic,Livestock Manure,468.51,Low,,43,Matched,215.91,In Progress,5.58,2026-01-23 19:51:35,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
65,33,Nigeria,Port Harcourt,Liquid,Industrial Effluent,370.32,Medium,,24,Matched,75.47,Open,4.18,2026-03-08 20:41:56,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated
66,33,Nigeria,Port Harcourt,Liquid,Industrial Effluent,169.7,High,,47,Matched,40.16,In Progress,6.45,2025-11-11 09:12:23,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
67,34,Kenya,Kisumu,Organic,Livestock Manure,284.52,Low,,45,Matched,153.48,Closed,5.19,2025-12-06 12:34:11,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
68,34,Kenya,Kisumu,Solid,Scrap Metal,155.79,Medium,,48,Matched,186.53,In Progress,6.96,2025-10-21 08:24:49,2,7,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
69,35,Kenya,Mombasa,Organic,Agricultural Residue,195.65,High,,43,Unmatched,146.32,Closed,5.52,2025-12-21 00:50:08,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
70,35,Kenya,Mombasa,Solid,PET Bottles,125.9,Medium,,22,Unmatched,139.83,Open,7.27,2026-03-11 14:26:27,2,5,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
71,36,Nigeria,Kano,Liquid,Industrial Effluent,135.28,Low,,39,Unmatched,24.6,Closed,7.8,2026-01-28 02:03:35,3,11,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
72,36,Nigeria,Kano,Organic,Livestock Manure,496.14,Low,,25,Matched,322.19,Open,5.44,2026-01-19 17:23:53,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
73,37,Nigeria,Lagos,Liquid,Septage/Sewage,67.88,Medium,,4,Unmatched,7.11,Closed,11.91,2025-11-03 01:05:50,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
74,37,Nigeria,Lagos,Organic,Livestock Manure,436.36,High,,54,Matched,95.97,Closed,6.93,2025-09-22 01:01:49,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
75,38,Nigeria,Lagos,Organic,Livestock Manure,373.04,Low,,41,Matched,263.07,Closed,5.73,2025-10-09 16:42:40,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
76,38,Nigeria,Lagos,Solid,PET Bottles,188.8,High,,21,Unmatched,191.71,Open,6.66,2026-02-12 00:19:27,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
77,39,Kenya,Eldoret,Organic,Market Waste,239.72,Medium,,46,Matched,132.35,In Progress,5.12,2025-11-09 08:24:12,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
78,39,Kenya,Eldoret,Organic,Agricultural Residue,492.99,High,,60,Matched,304.9,In Progress,6.39,2025-12-21 06:15:32,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
79,40,Nigeria,Abuja,Organic,Agricultural Residue,354.86,Medium,,37,Matched,76.55,Open,5.37,2025-09-29 11:26:18,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
80,40,Nigeria,Abuja,Organic,Food Scraps,350.75,Low,,31,Unmatched,191.76,In Progress,5.21,2026-01-10 19:30:51,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
81,41,Nigeria,Ibadan,Organic,Livestock Manure,86.74,High,,32,Unmatched,33.55,Closed,5.5,2026-02-08 07:03:56,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
82,41,Nigeria,Ibadan,Organic,Food Scraps,76.35,Low,,41,Unmatched,28.36,Closed,6.22,2025-11-25 18:23:59,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
83,42,Kenya,Nairobi,Organic,Livestock Manure,299.31,Low,,22,Matched,147.78,In Progress,6.59,2026-01-07 08:26:27,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
84,42,Kenya,Nairobi,Organic,Livestock Manure,349.43,Low,,32,Matched,200.47,Closed,5.72,2025-12-18 19:42:17,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General
85,43,Kenya,Eldoret,Liquid,Greywater,450.14,High,,50,Matched,146.61,Open,3.95,2026-01-04 08:14:49,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
86,43,Kenya,Eldoret,Solid,Textiles/Used Clothing,119.17,Low,,40,Unmatched,131.55,Closed,6.74,2025-12-10 04:42:17,2,8,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
87,44,Nigeria,Abuja,Organic,Market Waste,365.84,High,,11,Unmatched,173.83,Closed,5.39,2026-03-04 03:15:49,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
88,44,Nigeria,Abuja,Solid,PET Bottles,161.8,Medium,,21,Matched,85.27,In Progress,7.24,2025-11-05 14:25:59,2,5,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
89,45,Nigeria,Kano,Organic,Livestock Manure,83.94,Low,,36,Unmatched,70.91,Open,6.04,2026-01-16 11:09:07,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
90,45,Nigeria,Kano,Liquid,Industrial Effluent,34.15,High,,20,Unmatched,6.19,In Progress,7.46,2026-01-27 17:03:49,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
91,46,Nigeria,Ibadan,Liquid,Used Cooking Oil,376.12,Low,,1,Matched,31.53,Closed,5.38,2025-12-17 22:59:19,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated
92,46,Nigeria,Ibadan,Organic,Livestock Manure,453.2,High,,52,Unmatched,240.32,In Progress,6.11,2026-01-29 07:53:41,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
93,47,Nigeria,Lagos,Organic,Livestock Manure,223.27,Medium,,36,Unmatched,170.61,Closed,6.18,2026-02-22 09:56:35,1,4,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
94,47,Nigeria,Lagos,Organic,Food Scraps,416.74,Medium,,60,Matched,303.89,In Progress,6.57,2025-10-09 17:46:43,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Not Started,General
95,48,Kenya,Kisumu,Organic,Livestock Manure,410.45,High,,13,Unmatched,194.58,Closed,5.89,2025-11-27 23:43:36,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
96,48,Kenya,Kisumu,Solid,Textiles/Used Clothing,431.7,High,,33,Matched,505.04,In Progress,6.66,2025-12-25 01:01:19,2,8,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
97,49,Nigeria,Port Harcourt,Solid,Textiles/Used Clothing,46.39,Low,,57,Unmatched,25.06,In Progress,6.5,2026-02-05 20:18:24,2,8,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General
98,49,Nigeria,Port Harcourt,Organic,Livestock Manure,493.6,Low,,21,Matched,302.19,Open,5.1,2026-01-06 05:24:05,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
99,50,Nigeria,Kano,Organic,Agricultural Residue,73.98,High,,37,Unmatched,59.35,In Progress,5.83,2025-09-19 22:14:39,1,2,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
100,50,Nigeria,Kano,Organic,Livestock Manure,47.26,High,,25,Matched,23.85,In Progress,5.71,2026-02-27 15:46:08,1,4,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
101,51,Kenya,Nakuru,Solid,LDPE 'Sachet' Water Bags,378.03,High,,29,Unmatched,323.78,Open,7.44,2025-11-05 22:00:33,2,6,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
102,51,Kenya,Nakuru,Organic,Market Waste,363.14,Medium,,34,Unmatched,225.9,Open,5.78,2025-10-18 03:24:05,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
103,52,Kenya,Nakuru,Organic,Food Scraps,405.06,High,,56,Unmatched,271.22,Closed,6.01,2026-01-07 11:11:05,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
104,52,Kenya,Nakuru,Organic,Food Scraps,129.92,High,,17,Unmatched,47.07,Closed,6.6,2025-09-27 21:09:23,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
105,53,Nigeria,Port Harcourt,Organic,Market Waste,223.22,Medium,,31,Unmatched,94.65,Open,6.69,2025-10-14 21:31:36,1,3,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,In Progress,General
106,53,Nigeria,Port Harcourt,Organic,Livestock Manure,126.13,Low,,33,Unmatched,42.89,Open,6.28,2025-11-17 14:18:01,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
107,54,Kenya,Kisumu,Organic,Market Waste,197.91,High,,54,Unmatched,167.83,Open,6.63,2025-12-15 01:05:56,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
108,54,Kenya,Kisumu,Organic,Food Scraps,251.46,High,,53,Matched,68.23,Open,6.74,2026-03-06 01:44:00,1,1,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
109,55,Kenya,Kisumu,Solid,PET Bottles,23.95,High,,48,Matched,13.64,Open,6.56,2026-01-29 03:24:41,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous
110,55,Kenya,Kisumu,Organic,Food Scraps,196.09,Medium,,5,Matched,80.83,Open,6.1,2025-10-12 19:56:31,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
111,56,Nigeria,Lagos,Organic,Market Waste,463.52,Low,,7,Matched,330.19,Closed,5.58,2025-11-24 22:00:55,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
112,56,Nigeria,Lagos,Organic,Agricultural Residue,124.8,Low,,24,Matched,52.68,In Progress,6.88,2025-10-18 05:33:09,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General
113,57,Nigeria,Abuja,Liquid,Greywater,190.53,Medium,,37,Unmatched,56.13,Closed,11.45,2025-09-26 18:57:20,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
114,57,Nigeria,Abuja,Others,Construction debris,86.65,High,,34,Unmatched,29.27,Open,6.69,2025-11-08 11:12:51,4,15,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous
115,58,Nigeria,Lagos,Solid,LDPE 'Sachet' Water Bags,384.31,Medium,,10,Unmatched,346.51,Closed,6.83,2025-11-25 15:37:19,2,6,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
116,58,Nigeria,Lagos,Others,E-waste,237.88,Low,,30,Matched,79.74,Open,7.44,2025-12-06 23:33:19,4,13,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated
117,59,Kenya,Nakuru,Solid,Textiles/Used Clothing,408.35,Medium,,32,Unmatched,270.29,In Progress,7.22,2026-01-18 01:36:17,2,8,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General
118,59,Kenya,Nakuru,Organic,Food Scraps,169.69,Low,,18,Unmatched,114.37,Open,5.67,2026-03-12 15:11:38,1,1,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General
119,60,Nigeria,Ibadan,Liquid,Greywater,227.41,Medium,,50,Matched,86.97,Open,3.4,2025-11-24 15:29:07,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous
