listing_id,sme_id,country,city,waste_category,waste_item,volume_kg,contamination_risk,ai_routing_score,recommended_recycler_id,match_status,total_co2_offset,status,pH,created_at,waste_type_id,subcategory_id,toxicity_level,recommended_handling,storage_risk_level,documentation_status,regulatory_category,recycler_id,business_name,main_speciality,waste_types_accepted,capacity_kg_per_day,current_load_kg,country_recycler,city_recycler,gps_lat,gps_lng,certification_level,processing_efficiency,city_match,country_match,waste_category_match,estimated_distance,ai_explanation,net_climate_impact
6,3,Nigeria,Lagos,Organic,Livestock Manure,275.5,Low,22.5,3,Matched,218.74,In Progress,6.19,2025-10-22 03:30:28,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,3,Ruiz-Austin,Organic,"['Wastewater', 'E-waste', 'Food Scraps']",3956,1464,Kenya,Mombasa,-4.010711,39.686254,Advanced,0.82,0,0,1,100,Recycler specializes in this waste category; Low contamination risk; Low toxicity,17.82
6,3,Nigeria,Lagos,Organic,Livestock Manure,275.5,Low,22.5,3,Matched,218.74,In Progress,6.19,2025-10-22 03:30:28,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,3,Ruiz-Austin,Organic,"['Wastewater', 'E-waste', 'Food Scraps']",3956,1464,Kenya,Mombasa,-4.010711,39.686254,Advanced,0.82,0,0,1,100,Recycler specializes in this waste category; Low contamination risk; Low toxicity,-1.43
7,4,Nigeria,Ibadan,Organic,Market Waste,104.37,Low,26.5,54,Matched,93.48,In Progress,5.57,2025-11-03 14:26:34,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,54,"Smith, Weeks and Arroyo",Others,"['Food Scraps', 'E-waste', 'Construction debris']",3387,1357,Nigeria,Ibadan,7.335374,3.926435,None,0.79,1,1,0,5,Recycler is in the same city; Low contamination risk; Low toxicity,4.62
7,4,Nigeria,Ibadan,Organic,Market Waste,104.37,Low,26.5,54,Matched,93.48,In Progress,5.57,2025-11-03 14:26:34,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,54,"Smith, Weeks and Arroyo",Others,"['Food Scraps', 'E-waste', 'Construction debris']",3387,1357,Nigeria,Ibadan,7.335374,3.926435,None,0.79,1,1,0,5,Recycler is in the same city; Low contamination risk; Low toxicity,283.44
8,4,Nigeria,Ibadan,Liquid,Industrial Effluent,447.66,High,10.499999999999998,34,Unmatched,84.7,Open,5.39,2025-11-22 03:15:35,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,34,Martinez and Sons,Liquid,"['E-waste', 'Food Scraps', 'Textiles']",2516,1664,Kenya,Mombasa,-4.084359,39.692252,None,0.77,0,0,1,100,Recycler specializes in this waste category,4.62
8,4,Nigeria,Ibadan,Liquid,Industrial Effluent,447.66,High,10.499999999999998,34,Unmatched,84.7,Open,5.39,2025-11-22 03:15:35,3,11,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,34,Martinez and Sons,Liquid,"['E-waste', 'Food Scraps', 'Textiles']",2516,1664,Kenya,Mombasa,-4.084359,39.692252,None,0.77,0,0,1,100,Recycler specializes in this waste category,283.44
9,5,Nigeria,Lagos,Liquid,Used Cooking Oil,299.74,Low,6.000000000000001,7,Unmatched,98.59,Open,2.38,2025-12-25 09:57:27,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,7,Krause Ltd,Others,"['Food Scraps', 'Wastewater', 'Textiles']",4196,887,Kenya,Nakuru,-0.315114,36.063763,Advanced,0.82,0,0,0,100,Low contamination risk,104.32
9,5,Nigeria,Lagos,Liquid,Used Cooking Oil,299.74,Low,6.000000000000001,7,Unmatched,98.59,Open,2.38,2025-12-25 09:57:27,3,9,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,7,Krause Ltd,Others,"['Food Scraps', 'Wastewater', 'Textiles']",4196,887,Kenya,Nakuru,-0.315114,36.063763,Advanced,0.82,0,0,0,100,Low contamination risk,29.01
10,5,Nigeria,Lagos,Liquid,Used Cooking Oil,288.51,Low,12.000000000000002,58,Unmatched,30.01,Closed,6.18,2026-03-11 17:03:49,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated,58,Wright-Espinoza,Others,"['Wastewater', 'E-waste', 'PET Bottles']",843,180,Kenya,Mombasa,-4.017266,39.637839,Basic,0.7,0,0,0,100,Low contamination risk; Low toxicity,104.32
10,5,Nigeria,Lagos,Liquid,Used Cooking Oil,288.51,Low,12.000000000000002,58,Unmatched,30.01,Closed,6.18,2026-03-11 17:03:49,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,In Progress,Regulated,58,Wright-Espinoza,Others,"['Wastewater', 'E-waste', 'PET Bottles']",843,180,Kenya,Mombasa,-4.017266,39.637839,Basic,0.7,0,0,0,100,Low contamination risk; Low toxicity,29.01
11,6,Kenya,Mombasa,Others,E-waste,416.44,Low,18.000000000000004,44,Unmatched,60.76,Closed,7.28,2026-01-04 06:10:50,4,13,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,44,Dalton-Nguyen,Solid,"['PET Bottles', 'Food Scraps', 'Construction debris']",1131,275,Kenya,Kisumu,-0.086908,34.812158,None,0.78,0,1,0,20,Recycler is in the same country; Low contamination risk; Low toxicity,-65.51
11,6,Kenya,Mombasa,Others,E-waste,416.44,Low,18.000000000000004,44,Unmatched,60.76,Closed,7.28,2026-01-04 06:10:50,4,13,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,44,Dalton-Nguyen,Solid,"['PET Bottles', 'Food Scraps', 'Construction debris']",1131,275,Kenya,Kisumu,-0.086908,34.812158,None,0.78,0,1,0,20,Recycler is in the same country; Low contamination risk; Low toxicity,-46.05
12,6,Kenya,Mombasa,Organic,Livestock Manure,433.34,Low,12.000000000000002,40,Unmatched,220.6,Open,5.79,2025-11-28 09:15:20,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,40,Miller Group,Others,"['E-waste', 'Construction debris', 'Textiles']",1232,1791,Nigeria,Port Harcourt,4.800072,7.037941,Basic,0.8,0,0,0,100,Low contamination risk; Low toxicity,-65.51
12,6,Kenya,Mombasa,Organic,Livestock Manure,433.34,Low,12.000000000000002,40,Unmatched,220.6,Open,5.79,2025-11-28 09:15:20,1,4,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,In Progress,General,40,Miller Group,Others,"['E-waste', 'Construction debris', 'Textiles']",1232,1791,Nigeria,Port Harcourt,4.800072,7.037941,Basic,0.8,0,0,0,100,Low contamination risk; Low toxicity,-46.05
13,7,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,348.22,Low,22.5,10,Matched,222.44,Open,6.82,2025-10-07 02:13:19,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,10,Gonzalez-Marsh,Solid,"['Food Scraps', 'PET Bottles', 'E-waste']",4483,1020,Kenya,Kisumu,-0.08159,34.760629,None,0.81,0,0,1,100,Recycler specializes in this waste category; Low contamination risk; Low toxicity,-57.09
13,7,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,348.22,Low,22.5,10,Matched,222.44,Open,6.82,2025-10-07 02:13:19,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,10,Gonzalez-Marsh,Solid,"['Food Scraps', 'PET Bottles', 'E-waste']",4483,1020,Kenya,Kisumu,-0.08159,34.760629,None,0.81,0,0,1,100,Recycler specializes in this waste category; Low contamination risk; Low toxicity,-6.81
14,7,Nigeria,Ibadan,Organic,Market Waste,48.73,High,6.0,23,Unmatched,21.73,In Progress,6.69,2026-03-24 10:54:30,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,23,Nunez-Freeman,Solid,"['E-waste', 'Wastewater', 'Food Scraps']",4511,1402,Nigeria,Port Harcourt,4.814333,7.075586,Advanced,0.85,0,1,0,20,Recycler is in the same country,-57.09
14,7,Nigeria,Ibadan,Organic,Market Waste,48.73,High,6.0,23,Unmatched,21.73,In Progress,6.69,2026-03-24 10:54:30,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,23,Nunez-Freeman,Solid,"['E-waste', 'Wastewater', 'Food Scraps']",4511,1402,Nigeria,Port Harcourt,4.814333,7.075586,Advanced,0.85,0,1,0,20,Recycler is in the same country,-6.81
15,8,Kenya,Kisumu,Liquid,Septage/Sewage,437.13,Medium,8.0,41,Matched,103.65,In Progress,9.59,2026-01-16 22:51:48,3,12,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,41,Perez-Rojas,Solid,"['PET Bottles', 'Construction debris', 'Textiles']",797,1562,Nigeria,Kano,12.043339,8.567942,Basic,0.71,0,0,0,100,,-81.09
15,8,Kenya,Kisumu,Liquid,Septage/Sewage,437.13,Medium,8.0,41,Matched,103.65,In Progress,9.59,2026-01-16 22:51:48,3,12,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,41,Perez-Rojas,Solid,"['PET Bottles', 'Construction debris', 'Textiles']",797,1562,Nigeria,Kano,12.043339,8.567942,Basic,0.71,0,0,0,100,,-11.4
16,8,Kenya,Kisumu,Organic,Food Scraps,149.85,Medium,8.0,37,Unmatched,59.69,Open,6.15,2026-02-18 01:50:49,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,37,Brown Group,Liquid,"['Food Scraps', 'E-waste', 'Textiles']",4122,2484,Nigeria,Ibadan,7.406521,3.949434,None,0.81,0,0,0,100,,-81.09
16,8,Kenya,Kisumu,Organic,Food Scraps,149.85,Medium,8.0,37,Unmatched,59.69,Open,6.15,2026-02-18 01:50:49,1,1,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,37,Brown Group,Liquid,"['Food Scraps', 'E-waste', 'Textiles']",4122,2484,Nigeria,Ibadan,7.406521,3.949434,None,0.81,0,0,0,100,,-11.4
17,9,Kenya,Nairobi,Organic,Market Waste,59.21,Low,22.5,46,Unmatched,27.1,Closed,5.54,2025-12-06 05:19:35,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,46,Dunn-Taylor,Organic,"['Textiles', 'Construction debris', 'Food Scraps']",3726,552,Nigeria,Abuja,9.103114,7.399899,None,0.71,0,0,1,100,Recycler specializes in this waste category; Low contamination risk; Low toxicity,-0.3
17,9,Kenya,Nairobi,Organic,Market Waste,59.21,Low,22.5,46,Unmatched,27.1,Closed,5.54,2025-12-06 05:19:35,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,46,Dunn-Taylor,Organic,"['Textiles', 'Construction debris', 'Food Scraps']",3726,552,Nigeria,Abuja,9.103114,7.399899,None,0.71,0,0,1,100,Recycler specializes in this waste category; Low contamination risk; Low toxicity,243.43
18,9,Kenya,Nairobi,Organic,Market Waste,444.97,Low,28.5,18,Unmatched,231.24,Open,6.54,2025-10-11 10:17:56,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General,18,"Cook, Ward and Castro",Organic,"['PET Bottles', 'Construction debris', 'Textiles']",1057,1956,Kenya,Nakuru,-0.297796,36.092728,Advanced,0.99,0,1,1,20,Recycler is in the same country; Recycler specializes in this waste category; Low contamination risk; Low toxicity,-0.3
18,9,Kenya,Nairobi,Organic,Market Waste,444.97,Low,28.5,18,Unmatched,231.24,Open,6.54,2025-10-11 10:17:56,1,3,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Not Started,General,18,"Cook, Ward and Castro",Organic,"['PET Bottles', 'Construction debris', 'Textiles']",1057,1956,Kenya,Nakuru,-0.297796,36.092728,Advanced,0.99,0,1,1,20,Recycler is in the same country; Recycler specializes in this waste category; Low contamination risk; Low toxicity,243.43
19,10,Kenya,Eldoret,Organic,Agricultural Residue,56.07,Low,18.000000000000004,24,Unmatched,37.12,Open,5.37,2025-09-25 12:56:47,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,24,"Griffin, Miller and Austin",Liquid,"['Textiles', 'Construction debris', 'PET Bottles']",3064,1327,Kenya,Kisumu,-0.07879,34.811372,None,0.86,0,1,0,20,Recycler is in the same country; Low contamination risk; Low toxicity,-0.5
19,10,Kenya,Eldoret,Organic,Agricultural Residue,56.07,Low,18.000000000000004,24,Unmatched,37.12,Open,5.37,2025-09-25 12:56:47,1,2,Low,"Keep in covered bins, avoid open dumping, schedule frequent pickups.",Normal,Completed,General,24,"Griffin, Miller and Austin",Liquid,"['Textiles', 'Construction debris', 'PET Bottles']",3064,1327,Kenya,Kisumu,-0.07879,34.811372,None,0.86,0,1,0,20,Recycler is in the same country; Low contamination risk; Low toxicity,-15.81
20,10,Kenya,Eldoret,Organic,Market Waste,167.09,High,6.0,55,Matched,31.68,Closed,5.79,2025-12-12 18:19:30,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,55,Evans-Cannon,Liquid,"['Food Scraps', 'Construction debris', 'PET Bottles']",4768,1520,Kenya,Nairobi,-1.237179,36.781817,None,0.83,0,1,0,20,Recycler is in the same country,-0.5
20,10,Kenya,Eldoret,Organic,Market Waste,167.09,High,6.0,55,Matched,31.68,Closed,5.79,2025-12-12 18:19:30,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,In Progress,Hazardous,55,Evans-Cannon,Liquid,"['Food Scraps', 'Construction debris', 'PET Bottles']",4768,1520,Kenya,Nairobi,-1.237179,36.781817,None,0.83,0,1,0,20,Recycler is in the same country,-15.81
21,11,Nigeria,Lagos,Solid,PET Bottles,163.02,High,10.499999999999998,53,Unmatched,100.91,Open,7.46,2026-01-26 07:09:07,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,53,Cooper Group,Solid,"['PET Bottles', 'Food Scraps', 'Wastewater']",3564,217,Kenya,Nakuru,-0.340058,36.125987,Basic,0.83,0,0,1,100,Recycler specializes in this waste category,-9.4
21,11,Nigeria,Lagos,Solid,PET Bottles,163.02,High,10.499999999999998,53,Unmatched,100.91,Open,7.46,2026-01-26 07:09:07,2,5,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,53,Cooper Group,Solid,"['PET Bottles', 'Food Scraps', 'Wastewater']",3564,217,Kenya,Nakuru,-0.340058,36.125987,Basic,0.83,0,0,1,100,Recycler specializes in this waste category,10.11
22,11,Nigeria,Lagos,Liquid,Greywater,340.91,High,0.0,8,Matched,88.87,In Progress,6.74,2026-03-20 19:33:43,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,8,Olsen Ltd,Organic,"['Textiles', 'E-waste', 'Food Scraps']",4612,742,Kenya,Mombasa,-4.034134,39.68573,Basic,0.78,0,0,0,100,,-9.4
22,11,Nigeria,Lagos,Liquid,Greywater,340.91,High,0.0,8,Matched,88.87,In Progress,6.74,2026-03-20 19:33:43,3,10,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,8,Olsen Ltd,Organic,"['Textiles', 'E-waste', 'Food Scraps']",4612,742,Kenya,Mombasa,-4.034134,39.68573,Basic,0.78,0,0,0,100,,10.11
23,12,Nigeria,Abuja,Organic,Market Waste,309.84,High,0.0,59,Unmatched,95.43,Open,5.75,2025-11-16 07:54:18,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,59,"Price, Gray and Baker",Solid,"['E-waste', 'Textiles', 'Wastewater']",2225,2,Kenya,Mombasa,-4.051639,39.637572,None,0.75,0,0,0,100,,-37.14
23,12,Nigeria,Abuja,Organic,Market Waste,309.84,High,0.0,59,Unmatched,95.43,Open,5.75,2025-11-16 07:54:18,1,3,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Completed,Hazardous,59,"Price, Gray and Baker",Solid,"['E-waste', 'Textiles', 'Wastewater']",2225,2,Kenya,Mombasa,-4.051639,39.637572,None,0.75,0,0,0,100,,37.47
24,12,Nigeria,Abuja,Liquid,Used Cooking Oil,476.42,Low,12.000000000000002,16,Matched,74.7,Open,6.36,2025-12-13 17:52:32,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,16,Brown LLC,Organic,"['Wastewater', 'Food Scraps', 'Textiles']",1423,2148,Kenya,Kisumu,-0.128381,34.788103,Advanced,0.78,0,0,0,100,Low contamination risk; Low toxicity,-37.14
24,12,Nigeria,Abuja,Liquid,Used Cooking Oil,476.42,Low,12.000000000000002,16,Matched,74.7,Open,6.36,2025-12-13 17:52:32,3,9,Low,Store safely and avoid uncontrolled disposal.,Normal,Completed,Regulated,16,Brown LLC,Organic,"['Wastewater', 'Food Scraps', 'Textiles']",1423,2148,Kenya,Kisumu,-0.128381,34.788103,Advanced,0.78,0,0,0,100,Low contamination risk; Low toxicity,37.47
25,13,Nigeria,Abuja,Liquid,Industrial Effluent,240.31,Medium,8.0,48,Unmatched,60.17,Open,4.31,2025-10-28 05:09:38,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,48,"Fields, Elliott and Mills",Organic,"['E-waste', 'PET Bottles', 'Food Scraps']",2852,1887,Kenya,Mombasa,-4.029463,39.693657,Advanced,0.93,0,0,0,100,,-14.31
25,13,Nigeria,Abuja,Liquid,Industrial Effluent,240.31,Medium,8.0,48,Unmatched,60.17,Open,4.31,2025-10-28 05:09:38,3,11,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,Regulated,48,"Fields, Elliott and Mills",Organic,"['E-waste', 'PET Bottles', 'Food Scraps']",2852,1887,Kenya,Mombasa,-4.029463,39.693657,Advanced,0.93,0,0,0,100,,20.74
26,13,Nigeria,Abuja,Others,Construction debris,321.04,High,0.0,11,Matched,132.15,Closed,6.97,2026-01-10 04:22:49,4,15,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,11,"Hernandez, Shaffer and Thompson",Liquid,"['Construction debris', 'Textiles', 'E-waste']",2373,2923,Kenya,Nakuru,-0.348712,36.048293,Basic,0.93,0,0,0,100,,-14.31
26,13,Nigeria,Abuja,Others,Construction debris,321.04,High,0.0,11,Matched,132.15,Closed,6.97,2026-01-10 04:22:49,4,15,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,11,"Hernandez, Shaffer and Thompson",Liquid,"['Construction debris', 'Textiles', 'E-waste']",2373,2923,Kenya,Nakuru,-0.348712,36.048293,Basic,0.93,0,0,0,100,,20.74
27,14,Nigeria,Ibadan,Liquid,Septage/Sewage,18.7,Medium,14.499999999999996,27,Matched,5.55,Open,10.61,2025-12-22 23:44:07,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,27,Welch-Duncan,Liquid,"['PET Bottles', 'E-waste', 'Wastewater']",2512,1604,Kenya,Mombasa,-4.033664,39.68155,Basic,0.91,0,0,1,100,Recycler specializes in this waste category,-0.82
27,14,Nigeria,Ibadan,Liquid,Septage/Sewage,18.7,Medium,14.499999999999996,27,Matched,5.55,Open,10.61,2025-12-22 23:44:07,3,12,High,"Use PPE, store in labeled containers, avoid drains, await specialist pickup.",Critical,Not Started,Hazardous,27,Welch-Duncan,Liquid,"['PET Bottles', 'E-waste', 'Wastewater']",2512,1604,Kenya,Mombasa,-4.033664,39.68155,Basic,0.91,0,0,1,100,Recycler specializes in this waste category,-30.82
28,14,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,187.8,Low,12.000000000000002,19,Unmatched,119.55,Closed,7.41,2026-02-09 04:05:28,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,19,Cooper-Jenkins,Others,"['Construction debris', 'Wastewater', 'PET Bottles']",2650,1664,Kenya,Eldoret,0.486833,35.282474,None,0.92,0,0,0,100,Low contamination risk; Low toxicity,-0.82
28,14,Nigeria,Ibadan,Solid,LDPE 'Sachet' Water Bags,187.8,Low,12.000000000000002,19,Unmatched,119.55,Closed,7.41,2026-02-09 04:05:28,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,19,Cooper-Jenkins,Others,"['Construction debris', 'Wastewater', 'PET Bottles']",2650,1664,Kenya,Eldoret,0.486833,35.282474,None,0.92,0,0,0,100,Low contamination risk; Low toxicity,-30.82
29,15,Nigeria,Kano,Organic,Agricultural Residue,390.7,Medium,8.0,19,Matched,349.94,Open,6.33,2026-01-12 12:46:55,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,19,Cooper-Jenkins,Others,"['Construction debris', 'Wastewater', 'PET Bottles']",2650,1664,Kenya,Eldoret,0.486833,35.282474,None,0.92,0,0,0,100,,5.67
29,15,Nigeria,Kano,Organic,Agricultural Residue,390.7,Medium,8.0,19,Matched,349.94,Open,6.33,2026-01-12 12:46:55,1,2,Medium,"Store securely, avoid mixing with other waste, schedule timely pickup.",Elevated,Completed,General,19,Cooper-Jenkins,Others,"['Construction debris', 'Wastewater', 'PET Bottles']",2650,1664,Kenya,Eldoret,0.486833,35.282474,None,0.92,0,0,0,100,,-2.43
30,15,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,25.02,Low,18.000000000000004,28,Unmatched,23.77,Closed,6.72,2026-02-17 21:47:28,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,28,Miller LLC,Organic,"['Wastewater', 'Food Scraps', 'E-waste']",3720,13,Nigeria,Port Harcourt,4.799694,7.025317,None,0.75,0,1,0,20,Recycler is in the same country; Low contamination risk; Low toxicity,5.67
30,15,Nigeria,Kano,Solid,LDPE 'Sachet' Water Bags,25.02,Low,18.000000000000004,28,Unmatched,23.77,Closed,6.72,2026-02-17 21:47:28,2,6,Low,"Keep clean and dry, avoid burning, store in bags or bales.",Normal,Completed,General,28,Miller LLC,Organic,"['Wastewater', 'Food Scraps', 'E-waste']",3720,13,Nigeria,Port Harcourt,4.799694,7.025317,None,0.75,0,1,0,20,Recycler is in the same country; Low contamination risk; Low toxicity,-2.43
